City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Tarbes,FR,2020-04-04 15:21:52,43.25,0.17,71.6,30,0,6.93
176,Valparaiso,CL,2020-04-04 15:19:19,-33.04,-71.63,57.2,100,90,4.7
177,Ancud,CL,2020-04-04 15:21:53,-41.87,-73.82,51.8,87,90,4.7
178,Puri,IN,2020-04-04 15:21:53,19.8,85.85,80.6,88,4,13.82
179,Aswan,EG,2020-04-04 15:21:54,24.09,32.91,96.94,8,0,5.88
180,Biskamzha,RU,2020-04-04 15:21:54,53.45,89.53,33.31,72,100,4.83
181,Leshukonskoye,RU,2020-04-04 15:21:55,64.9,45.76,30.22,96,60,3.71
182,Igarka,RU,2020-04-04 15:21:55,67.47,86.58,32.9,95,100,19.69
183,Manawar,IN,2020-04-04 15:21:55,22.23,75.08,90.37,11,0,7.23
184,Georgetown,MY,2020-04-04 15:21:56,5.41,100.34,86.0,79,20,3.36
185,Ribeira Grande,PT,2020-04-04 15:17:48,38.52,-28.7,59.0,82,40,23.04
186,Omboue,GA,2020-04-04 15:21:56,-1.57,9.26,75.11,94,100,11.18
187,Thinadhoo,MV,2020-04-04 15:21:57,0.53,72.93,83.86,72,99,13.6
188,Muhos,FI,2020-04-04 15:21:57,64.81,25.99,30.99,68,15,10.29
189,Madimba,TZ,2020-04-04 15:21:58,-10.4,40.33,80.85,83,6,9.22
190,Puerto Narino,CO,2020-04-04 15:21:58,-3.77,-70.38,86.0,79,75,2.24
191,Cine,TR,2020-04-04 15:21:58,37.61,28.06,68.0,40,75,23.04
192,Chicama,PE,2020-04-04 15:21:59,-7.84,-79.15,73.4,78,8,4.7
193,Lipin Bor,RU,2020-04-04 15:21:59,60.26,37.98,33.78,82,71,6.96
194,Roald,NO,2020-04-04 15:22:00,62.58,6.13,39.99,59,20,4.7
195,Marawi,PH,2020-04-04 15:22:00,8.0,124.29,67.91,75,10,2.21
196,Amapa,BR,2020-04-04 15:22:00,1.0,-52.0,81.59,86,100,3.98
197,Bafoulabe,ML,2020-04-04 15:22:01,13.81,-10.83,113.0,7,0,6.49
198,Nantucket,US,2020-04-04 15:22:01,41.28,-70.1,42.8,87,90,24.16
199,Veraval,IN,2020-04-04 15:22:02,20.9,70.37,77.54,74,0,8.93
200,Kahama,TZ,2020-04-04 15:22:02,-3.83,32.6,75.25,59,70,2.19
201,Jacqueville,CI,2020-04-04 15:22:03,5.21,-4.41,89.6,70,20,9.17
202,Manica,FR,2020-04-04 15:22:03,49.0,-1.17,62.6,42,0,10.56
203,Gueret,FR,2020-04-04 15:22:04,46.17,1.87,66.99,34,0,5.82
204,Razole,IN,2020-04-04 15:22:04,16.48,81.83,78.28,81,1,5.23
205,Bilma,NE,2020-04-04 15:21:14,18.69,12.92,107.1,5,0,10.45
206,Hofn,IS,2020-04-04 15:22:05,64.25,-15.21,24.19,92,100,28.57
207,Leh,IN,2020-04-04 15:22:05,34.17,77.58,18.73,24,0,4.34
208,Alta Floresta,BR,2020-04-04 15:22:06,-9.88,-56.09,87.8,74,40,5.82
209,Jalu,LY,2020-04-04 15:22:06,29.03,21.55,75.99,29,0,25.9
210,Saint-Francois,FR,2020-04-04 15:22:07,46.42,3.91,64.4,36,4,6.93
211,Acari,PE,2020-04-04 15:22:07,-15.43,-74.62,78.8,53,65,6.04
212,Envira,BR,2020-04-04 15:22:08,-7.3,-70.22,85.86,65,99,1.66
