,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Sawakin,SD,82.62,scattered clouds,19.11,37.33,فندق الدويم
470,Vila Velha,BR,81.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
476,Izazi,TZ,80.6,light thunderstorm,-7.2,35.73,
478,Kinango,KE,87.8,scattered clouds,-4.14,39.32,Moonlit Inn Kinango
482,Madimba,TZ,87.8,scattered clouds,-10.4,40.33,
494,Ramhormoz,IR,84.15,few clouds,31.28,49.6,فروشگاه مطورعلیان
495,Ormara,PK,86.58,scattered clouds,25.21,64.64,
500,Quixada,BR,82.24,scattered clouds,-4.97,-39.02,Hotel Vale das Pedras
506,Trairi,BR,83.34,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
507,Mitsamiouli,KM,89.6,scattered clouds,-11.38,43.28,Foyer ADM
513,Maroantsetra,MG,82.45,light rain,-15.43,49.73,La Pagode
519,Pitimbu,BR,87.8,light rain,-7.47,-34.81,Reserva do Abiaí
528,Portel,BR,80.64,light rain,-1.94,-50.82,Pousada Avenida
541,Quatre Cocos,MU,82.99,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
545,Bonfim,BR,82.54,light rain,3.08,-59.95,
546,Sinnamary,GF,81.68,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
547,Safaga,EG,88.14,clear sky,26.73,33.94,Lamar Resort Abu Soma
