City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
141,Bristol,US,2020-04-05 12:47:28,41.83,-71.17,45.0,87,90,3.47,overcast clouds,0.0,0.0
142,Hidrolandia,BR,2020-04-05 12:47:29,-4.41,-40.44,82.72,75,42,2.51,scattered clouds,0.0,0.0
143,Bata,GQ,2020-04-05 12:47:29,1.86,9.77,89.6,70,40,8.05,scattered clouds,0.0,0.0
144,Saint George,US,2020-04-05 12:36:02,37.1,-113.58,54.0,46,1,12.75,clear sky,0.0,0.0
145,Hithadhoo,MV,2020-04-05 12:39:28,-0.6,73.08,83.08,76,87,9.4,overcast clouds,0.0,0.0
146,Abrau-Dyurso,RU,2020-04-05 12:45:48,44.69,37.59,60.8,52,20,22.37,few clouds,0.0,0.0
147,Viedma,AR,2020-04-05 12:42:47,-40.81,-63.0,57.72,65,29,15.97,scattered clouds,0.0,0.0
148,Najran,SA,2020-04-05 12:41:04,17.49,44.13,93.2,24,5,6.93,dust,0.0,0.0
149,Chinsali,ZM,2020-04-05 12:47:32,-10.54,32.08,80.62,42,34,1.72,light rain,0.14,0.0
150,Tabas,IR,2020-04-05 12:47:32,33.6,56.92,75.54,14,33,17.74,scattered clouds,0.0,0.0
151,Araouane,ML,2020-04-05 12:41:56,18.9,-3.53,100.22,7,0,7.85,clear sky,0.0,0.0
152,Saldanha,ZA,2020-04-05 12:39:38,-33.01,17.94,69.8,56,100,12.75,overcast clouds,0.0,0.0
153,Nigel,ZA,2020-04-05 12:47:33,-26.43,28.48,73.99,43,0,7.11,clear sky,0.0,0.0
154,Rome,US,2020-04-05 12:47:33,34.26,-85.16,59.0,81,1,4.7,clear sky,0.0,0.0
155,Iqaluit,CA,2020-04-05 12:39:46,63.75,-68.51,-4.0,70,5,16.11,clear sky,0.0,0.0
156,San Cristobal,VE,2020-04-05 12:40:55,7.77,-72.22,80.6,69,40,4.7,scattered clouds,0.0,0.0
157,Catumbela,AO,2020-04-05 12:47:34,-12.43,13.55,82.27,74,27,8.7,light rain,0.66,0.0
158,Camargo,MX,2020-04-05 12:41:03,27.67,-105.17,62.1,31,100,4.52,overcast clouds,0.0,0.0
159,Aksum,ET,2020-04-05 12:47:35,14.12,38.72,87.42,7,8,15.68,clear sky,0.0,0.0
160,Snezhnogorsk,RU,2020-04-05 12:47:35,69.19,33.25,30.2,63,75,11.18,broken clouds,0.0,0.0
161,Caravelas,BR,2020-04-05 12:40:03,-17.71,-39.25,79.77,77,98,13.24,light rain,0.11,0.0
162,Oum Hadjer,TD,2020-04-05 12:47:36,13.3,19.7,108.45,10,52,2.21,broken clouds,0.0,0.0
163,Maldonado,UY,2020-04-05 12:42:23,-34.67,-54.92,64.4,72,7,5.82,clear sky,0.0,0.0
164,Mazamari,PE,2020-04-05 12:47:36,-11.33,-74.53,71.78,62,65,0.29,light rain,1.49,0.0
165,Caririacu,BR,2020-04-05 12:47:37,-7.04,-39.28,77.74,72,89,2.8,overcast clouds,0.0,0.0
166,Wattwil,CH,2020-04-05 12:47:37,47.3,9.09,64.99,39,0,3.36,clear sky,0.0,0.0
167,Tasiilaq,GL,2020-04-05 12:47:37,65.61,-37.64,14.0,47,20,5.82,few clouds,0.0,0.0
168,Saint-Augustin,CA,2020-04-05 12:47:38,51.23,-58.65,24.76,96,96,6.15,light snow,0.0,0.26
169,Rovaniemi,FI,2020-04-05 12:47:17,66.5,25.72,28.4,36,0,11.41,clear sky,0.0,0.0
170,Mogadishu,SO,2020-04-05 12:45:54,2.04,45.34,89.6,59,40,12.75,scattered clouds,0.0,0.0
171,Paamiut,GL,2020-04-05 12:42:13,61.99,-49.67,25.86,82,100,9.82,overcast clouds,0.0,0.0
172,Beinamar,TD,2020-04-05 12:47:39,8.67,15.38,112.05,16,46,2.93,scattered clouds,0.0,0.0
173,Marica,BR,2020-04-05 12:47:39,-22.92,-42.82,96.8,78,75,3.36,broken clouds,0.0,0.0
174,Bud,US,2020-04-05 12:41:38,39.45,-86.18,46.0,87,90,6.93,overcast clouds,0.0,0.0
175,Pionerskiy,RU,2020-04-05 12:43:46,54.95,20.23,53.6,46,0,6.71,clear sky,0.0,0.0
176,Uige,AO,2020-04-05 12:46:58,-7.61,15.06,80.6,74,75,6.93,broken clouds,0.0,0.0
177,Forio,IT,2020-04-05 12:47:41,40.73,13.86,68.0,28,40,17.22,scattered clouds,0.0,0.0
178,Sanchor,IN,2020-04-05 12:47:41,24.76,71.77,101.35,9,23,11.79,few clouds,0.0,0.0
179,Prozor,BA,2020-04-05 12:47:41,43.82,17.61,59.0,28,20,13.87,few clouds,0.0,0.0
180,Brekstad,NO,2020-04-05 12:47:42,63.69,9.67,39.99,69,75,23.04,light rain,0.0,0.0
181,Trinidad,BO,2020-04-05 12:37:10,-14.83,-64.9,78.8,94,75,1.9,broken clouds,0.0,0.0
182,Rengo,CL,2020-04-05 12:47:42,-34.42,-70.87,50.0,71,74,8.05,broken clouds,0.0,0.0
183,Zamosc,PL,2020-04-05 12:47:43,50.72,23.25,55.4,28,0,9.17,clear sky,0.0,0.0
184,Brae,GB,2020-04-05 12:40:47,60.4,-1.35,51.8,66,99,28.86,overcast clouds,0.0,0.0
185,Bama,NG,2020-04-05 12:47:43,11.52,13.69,107.47,14,16,5.93,few clouds,0.0,0.0
186,Sao Joao Da Barra,BR,2020-04-05 12:40:59,-21.64,-41.05,78.8,69,69,7.16,broken clouds,0.0,0.0
187,Kortkeros,RU,2020-04-05 12:47:44,61.81,51.58,37.4,29,40,8.95,scattered clouds,0.0,0.0
188,Mehamn,NO,2020-04-05 12:40:45,71.04,27.85,30.69,89,91,20.13,overcast clouds,0.0,0.0
189,Itarema,BR,2020-04-05 12:41:52,-2.92,-39.92,82.94,81,99,7.4,light rain,0.56,0.0
190,Mayumba,GA,2020-04-05 12:47:45,-3.43,10.66,83.14,78,100,2.8,light rain,0.17,0.0
191,Melrose,US,2020-04-05 12:47:46,42.46,-71.07,45.0,80,75,4.7,broken clouds,0.0,0.0
192,Ilhabela,BR,2020-04-05 12:47:46,-23.78,-45.36,74.82,66,34,1.95,scattered clouds,0.0,0.0
193,Aksu,CN,2020-04-05 12:47:47,41.12,80.26,68.09,15,0,0.87,clear sky,0.0,0.0
194,Odienne,CI,2020-04-05 12:47:47,9.51,-7.57,104.36,25,0,2.75,clear sky,0.0,0.0
195,Adrar,MR,2020-04-05 12:45:18,20.5,-10.07,90.19,12,0,11.92,clear sky,0.0,0.0
196,Mahebourg,MU,2020-04-05 12:47:48,-20.41,57.7,82.99,74,75,11.41,broken clouds,0.0,0.0
197,Santa Lucia,ES,2020-04-05 12:47:48,27.91,-15.54,72.0,73,20,5.82,few clouds,0.0,0.0
198,Kondinskoye,RU,2020-04-05 12:47:48,59.65,67.41,36.72,97,100,4.25,light rain,1.24,0.0
199,Aksarka,RU,2020-04-05 12:47:49,66.56,67.8,33.71,98,100,6.44,overcast clouds,0.0,0.0
200,Doctor Cecilio Baez,PY,2020-04-05 12:47:49,-25.05,-56.32,73.49,45,54,5.66,broken clouds,0.0,0.0
201,Ambilobe,MG,2020-04-05 12:42:51,-13.2,49.05,84.27,70,13,5.17,light rain,0.91,0.0
202,Berlevag,NO,2020-04-05 12:47:50,70.86,29.09,31.59,90,97,21.68,light snow,0.0,0.64
203,Bakchar,RU,2020-04-05 12:47:50,57.02,82.07,38.68,78,97,7.87,overcast clouds,0.0,0.0
204,Am Timan,TD,2020-04-05 12:47:51,11.03,20.28,110.26,12,97,4.99,overcast clouds,0.0,0.0
205,Andros Town,BS,2020-04-05 12:47:51,24.7,-77.77,78.01,83,20,4.68,few clouds,0.0,0.0
206,Puntarenas,CR,2020-04-05 12:47:52,9.98,-84.84,72.0,77,38,11.41,scattered clouds,0.0,0.0
207,Mangai,CD,2020-04-05 12:47:52,-4.05,19.53,97.86,35,37,1.54,scattered clouds,0.0,0.0
208,Desur,IN,2020-04-05 12:47:52,12.43,79.48,92.82,45,74,11.92,broken clouds,0.0,0.0
209,Shahdol,IN,2020-04-05 12:47:53,23.28,81.35,94.55,9,0,11.05,clear sky,0.0,0.0
210,Jumla,NP,2020-04-05 12:47:53,29.27,82.18,55.33,16,38,6.46,scattered clouds,0.0,0.0
211,Bubaque,GW,2020-04-05 12:47:53,11.28,-15.83,81.34,62,0,3.06,clear sky,0.0,0.0
212,Nouakchott,MR,2020-04-05 12:47:54,18.09,-15.98,87.8,38,0,16.11,clear sky,0.0,0.0
213,Karasjok,NO,2020-04-05 12:47:54,69.47,25.51,30.2,42,0,18.34,clear sky,0.0,0.0
214,Magadi,IN,2020-04-05 12:47:55,12.97,77.23,93.2,32,40,5.82,scattered clouds,0.0,0.0
215,Lokosovo,RU,2020-04-05 12:47:55,61.13,74.82,40.84,76,89,13.33,overcast clouds,0.0,0.0
216,Wukari,NG,2020-04-05 12:47:55,7.85,9.78,96.94,39,45,6.26,scattered clouds,0.0,0.0
217,Laukaa,RU,2020-04-05 12:47:56,58.74,29.85,39.94,58,66,13.85,broken clouds,0.0,0.0
218,San Andres,CO,2020-04-05 12:47:57,12.58,-81.7,80.6,78,20,8.05,few clouds,0.0,0.0
219,Talcahuano,CL,2020-04-05 12:47:57,-36.72,-73.12,44.6,87,0,3.36,clear sky,0.0,0.0
220,Coihaique,CL,2020-04-05 12:47:12,-45.58,-72.07,39.2,86,75,3.36,broken clouds,0.0,0.0
221,Benguela,AO,2020-04-05 12:47:58,-12.58,13.41,82.69,74,39,9.1,light rain,0.38,0.0
222,Letlhakeng,BW,2020-04-05 12:47:58,-24.09,25.03,85.24,14,0,5.93,clear sky,0.0,0.0
223,Lulea,SE,2020-04-05 12:44:05,65.58,22.15,33.8,34,20,13.87,few clouds,0.0,0.0
224,Cauquenes,CL,2020-04-05 12:47:59,-35.97,-72.32,47.53,77,3,4.36,clear sky,0.0,0.0
225,Price,US,2020-04-05 12:47:59,39.6,-110.81,39.0,51,20,2.1,few clouds,0.0,0.0
226,Port Blair,IN,2020-04-05 12:48:00,11.67,92.75,84.02,72,13,9.24,few clouds,0.0,0.0
227,Alta Floresta,BR,2020-04-05 12:44:50,-9.88,-56.09,82.4,88,75,2.24,broken clouds,0.0,0.0
228,Puerto Leguizamo,CO,2020-04-05 12:48:00,-0.19,-74.78,73.85,92,85,0.63,light rain,2.75,0.0
229,Birjand,IR,2020-04-05 12:48:01,32.87,59.22,68.0,25,40,20.8,sand,0.0,0.0
230,Pachino,IT,2020-04-05 12:48:01,36.72,15.09,64.4,52,0,5.82,clear sky,0.0,0.0
231,Oktyabrskoye,RU,2020-04-05 12:48:01,43.06,44.74,60.8,36,80,6.71,broken clouds,0.0,0.0
232,Rundu,NA,2020-04-05 12:48:02,-17.93,19.77,75.2,41,37,2.24,light rain,0.3,0.0
233,Muravlenko,RU,2020-04-05 12:48:02,63.79,74.52,32.74,96,100,15.43,snow,0.0,4.1
